Country Code,Country name,Year,CO2_Totales,CO2_Percap,CO2_PIB,PIB,Exportaciones,Importaciones,Indice_Apertura
CHN,China,1998,15.016783075495153,2.67674598026467,1151.2424624181601,27.650292803601374,18.342006982236978,14.082133152075823,32.4241401343128
CHN,China,1999,15.014889510894047,2.64864924664833,1067.90387832886,27.711012681088064,18.162586457287098,15.361777789157147,33.52436424644424
CHN,China,2000,15.040808320546509,2.69686243322549,1011.01890741307,27.812075471589687,20.89370729745291,18.51732659759393,39.41103389504684
CHN,China,2001,15.064714731740786,2.74212081298895,956.1218505996379,27.91228628030005,20.312067216126007,18.21514310996005,38.527210326086056
CHN,China,2002,15.122285987944913,2.88522504139331,928.306457892502,28.005220978810144,22.64462803174193,20.102553523999077,42.74718155574101
CHN,China,2003,15.325167252362125,3.51224542766222,1033.73423682166,28.12630210406373,26.98087714399246,24.823342430750017,51.804219574742476
CHN,China,2004,15.480982057902754,4.08013890554173,1097.21337101949,28.289392503479252,31.06134133534818,28.444190078044407,59.50553141339259
CHN,China,2005,15.571645782878209,4.4411506949345,1079.37084361845,28.44501462176186,33.829927750047034,28.378094173183282,62.20802192323032
CHN,China,2006,15.674065854945248,4.89272709798477,1061.0289620444698,28.629057926296667,36.035197289784485,28.44399391038992,64.4791912001744
CHN,China,2007,15.731227254204251,5.15356401658718,983.752875964508,28.882084316614417,35.4349475807119,26.758677504459357,62.193625085171256
CHN,China,2008,15.765969802320523,5.30848878160729,929.3171626803501,29.139937209427732,32.6025028810906,25.009839360475517,57.61234224156612
CHN,China,2009,13.990443450683257,9.42846817519411,323.90161153751103,29.23870874201429,24.749913906130207,20.43506230091772,45.184976207047924
CHN,China,2010,15.399591097323704,19.3991900823694,612.4863554880731,29.402344729348567,27.185332720405103,23.531744942295237,50.71707766270034
COL,Colombia,1990,10.956705116002034,1.72685172064565,283.245332077861,24.4189770164719,18.862669028641616,15.915141351666506,34.777810380308125
COL,Colombia,1991,10.952924635415794,1.68747143092087,275.893809401515,24.44266361772,19.0945389024404,14.435379192274917,33.52991809471532
COL,Colombia,1992,11.035684622157815,1.7986704126196,285.33807344413395,24.6207757420757,16.518554695365445,17.09303664828695,33.61159134365239
COL,Colombia,1993,11.066984443073963,1.82159427101976,287.606576972322,24.74508522682053,15.184495285478441,20.992976159484268,36.177471444962706
COL,Colombia,1994,11.12094614842405,1.88758799557461,286.814722275878,25.12636263598705,14.998361834568778,20.919175615569202,35.91753745013798
COL,Colombia,1995,10.995591239467398,1.63526186916715,240.51086043813,25.250553157269213,14.533742889210261,20.963487428556355,35.497230317766615
COL,Colombia,1996,11.010792533376483,1.63081543068597,239.27570573366899,25.29962608942613,15.199461701397048,20.844645484931203,36.04410718632825
COL,Colombia,1997,11.080693807651109,1.71822123669234,248.089615329898,25.39290742897798,14.841543743470668,20.755524345208602,35.59706808867927
COL,Colombia,1998,11.09705638272834,1.71639465326698,250.75363882595803,25.312751086846383,15.00735083699117,20.901572216522613,35.90892305351378
COL,Colombia,1999,10.942210708224566,1.44522513600292,224.208109018198,25.179775405250176,18.346578750154098,17.80270056402532,36.14927931417942
COL,Colombia,2000,10.966885911495728,1.45668670631744,220.080941648501,25.332067340421517,15.915139715437993,16.75194575386873,32.66708546930672
COL,Colombia,2001,10.9379840218268,1.39213672985929,210.28217911070902,25.31581109525765,15.387135766500922,18.513976028443533,33.901111794944455
COL,Colombia,2002,10.927042061716048,1.35501262764211,202.91364027430402,25.31056836419429,14.81556967752718,18.167069536896253,32.98263921442343
COL,Colombia,2003,10.958174999634632,1.37596260262589,201.436810495694,25.276264343886066,16.575299711762653,19.94088380546733,36.51618351722998
COL,Colombia,2004,10.89252467860873,1.26865600370238,179.087608029082,25.487047043959663,16.77075142480228,19.09267550899721,35.86342693379949
COL,Colombia,2005,10.98830590749764,1.37493677475092,188.230033823926,25.71077114569423,16.971043739162855,20.45165375579214,37.422697494954996
COL,Colombia,2006,11.02779351354267,1.40884372080719,183.520195784379,25.815837408934566,17.72858775065251,21.912768209976836,39.64135596062934
COL,Colombia,2007,11.05783566957506,1.43034434247385,176.909335546661,26.05796665678464,16.433142126364626,20.665754971925715,37.09889709829034
COL,Colombia,2008,11.122843733639286,1.50425458666622,182.325197343058,26.22307676596998,18.109595135073885,21.058054281361606,39.167649416435495
COL,Colombia,2009,11.695482360736461,3.5556581530608,380.12788468848146,26.18640482829172,16.424495687575515,18.73163281988301,35.156128507458526
COL,Colombia,2010,12.401341689441603,3.7804447823099903,375.724739988489,26.386882313065875,16.340844759769144,17.923758408999007,34.26460316876815
IND,India,1990,13.445282431747799,0.812907098756349,653.64816447974,26.483638503721696,7.053350234144568,8.452911276051978,15.506261510196545
IND,India,1991,13.51149818638113,0.851501665262599,691.04494854828,26.312473267921497,8.494240770535466,8.493485780599592,16.987726551135058
IND,India,1992,13.571697650928296,0.887647929761526,695.79189460707,26.22677933958169,8.842926925020878,9.590172116807167,18.433099041828044
IND,India,1993,13.610081286974706,0.905450271257793,690.115942983425,26.34380207717991,9.834217454863262,9.817322331605114,19.651539786468376
IND,India,1994,13.6704057342346,0.944560944286156,687.294514200482,26.502483941699374,9.888084916445399,10.190059460480063,20.07814437692546
IND,India,1995,13.732179635784107,0.9869838797228,679.6460313180311,26.599036078581175,10.843968035062238,12.023480671187661,22.8674487062499
IND,India,1996,13.817732191308364,1.05635283396467,688.332464680328,26.68515715209063,10.385169271606278,11.544318599780373,21.92948787138665
IND,India,1997,13.858512473928318,1.08132320275947,689.045728183163,26.741652623908703,10.690717318378956,11.9286695486689,22.619386867047858
IND,India,1998,13.88495431405415,1.09135706685601,666.244273994411,26.754557745666837,11.01846917931019,12.68100089975455,23.69947007906474
IND,India,1999,13.950382324636015,1.14551720290261,662.362206670287,26.833571080784566,11.452064612800928,13.363533431491991,24.81559804429292
IND,India,2000,13.98665589449292,1.16806411706399,660.2199576808599,26.854887968811685,12.997236311347853,13.903686599099501,26.900922910447356
IND,India,2001,14.00102957825245,1.16597974007201,636.569139207797,26.89256032494113,12.558379633910777,13.434875119525744,25.99325475343652
IND,India,2002,14.019912524205862,1.16988703463097,625.155108894381,26.952151433872494,14.264383924314739,15.24427901074666,29.5086629350614
IND,India,2003,14.063864462549724,1.2043547530858,602.786061683717,27.119297405353546,14.947913858173406,15.644522274734577,30.592436132907984
IND,India,2004,14.113090291565367,1.24716986899132,584.791141094155,27.304699732892935,17.859124963047883,19.6446890963991,37.50381405944698
IND,India,2005,14.15989966331562,1.28919196260128,560.575983454047,27.449542165248502,19.60524669483348,22.396422920035626,42.0016696148691
IND,India,2006,14.223881272706057,1.35551418045856,546.906546841029,27.581136679945264,21.26794142219655,24.45653907706868,45.724480499265226
IND,India,2007,14.293224118533422,1.4335012506024,533.77563707564,27.848087239703098,20.79969974890322,24.886568930444756,45.686268679347975
IND,India,2008,14.37094489925259,1.52872925967118,549.7977391133551,27.824762690176538,24.097357260139106,29.270863179083523,53.368220439222625
IND,India,2009,14.471976855928942,2.34148251089206,583.5826856738785,27.953568886856885,20.400519374356367,25.872350268527367,46.272869642883734
IND,India,2010,13.865192258882402,7.0449557658737,514.665372610958,28.17857024635639,22.40093324879449,26.85427324862164,49.25520649741613
JPN,Japan,1990,13.905996248613802,8.86136010264131,339.142870802333,28.748794724049933,10.050095914740911,9.285617818181898,19.33571373292281
